Index,LowerBound,UpperBound,mcmean,truemean
+270,+2.87963e+00,+3.11819e+00,+2.99891e+00,+3.00000e+00
+271,+2.87985e+00,+3.11797e+00,+2.99891e+00,+3.00000e+00
+272,+2.88112e+00,+3.11881e+00,+2.99997e+00,+3.00000e+00
+273,+2.87485e+00,+3.11210e+00,+2.99347e+00,+3.00000e+00
+274,+2.86816e+00,+3.10497e+00,+2.98656e+00,+3.00000e+00
+275,+2.86803e+00,+3.10441e+00,+2.98622e+00,+3.00000e+00
+276,+2.86451e+00,+3.10047e+00,+2.98249e+00,+3.00000e+00
+277,+2.86165e+00,+3.09717e+00,+2.97941e+00,+3.00000e+00
+278,+2.86626e+00,+3.10136e+00,+2.98381e+00,+3.00000e+00
+279,+2.86883e+00,+3.10351e+00,+2.98617e+00,+3.00000e+00
+280,+2.86935e+00,+3.10361e+00,+2.98648e+00,+3.00000e+00
+281,+2.87054e+00,+3.10439e+00,+2.98746e+00,+3.00000e+00
+282,+2.87429e+00,+3.10772e+00,+2.99101e+00,+3.00000e+00
+283,+2.86973e+00,+3.10275e+00,+2.98624e+00,+3.00000e+00
+284,+2.87152e+00,+3.10413e+00,+2.98782e+00,+3.00000e+00
+285,+2.86473e+00,+3.09693e+00,+2.98083e+00,+3.00000e+00
+286,+2.85976e+00,+3.09155e+00,+2.97565e+00,+3.00000e+00
+287,+2.85789e+00,+3.08928e+00,+2.97359e+00,+3.00000e+00
+288,+2.86386e+00,+3.09485e+00,+2.97935e+00,+3.00000e+00
+289,+2.85994e+00,+3.09052e+00,+2.97523e+00,+3.00000e+00
+290,+2.86127e+00,+3.09145e+00,+2.97636e+00,+3.00000e+00
+291,+2.85915e+00,+3.08894e+00,+2.97405e+00,+3.00000e+00
+292,+2.86086e+00,+3.09025e+00,+2.97555e+00,+3.00000e+00
+293,+2.86467e+00,+3.09367e+00,+2.97917e+00,+3.00000e+00
+294,+2.86254e+00,+3.09115e+00,+2.97684e+00,+3.00000e+00
+295,+2.86407e+00,+3.09230e+00,+2.97818e+00,+3.00000e+00
+296,+2.86066e+00,+3.08850e+00,+2.97458e+00,+3.00000e+00
+297,+2.86359e+00,+3.09105e+00,+2.97732e+00,+3.00000e+00
+298,+2.85777e+00,+3.08485e+00,+2.97131e+00,+3.00000e+00
+299,+2.85397e+00,+3.08066e+00,+2.96731e+00,+3.00000e+00
+300,+2.85837e+00,+3.08469e+00,+2.97153e+00,+3.00000e+00
+301,+2.86124e+00,+3.08718e+00,+2.97421e+00,+3.00000e+00
+302,+2.85932e+00,+3.08488e+00,+2.97210e+00,+3.00000e+00
+303,+2.86132e+00,+3.08652e+00,+2.97392e+00,+3.00000e+00
+304,+2.86037e+00,+3.08520e+00,+2.97278e+00,+3.00000e+00
+305,+2.86100e+00,+3.08545e+00,+2.97323e+00,+3.00000e+00
+306,+2.86084e+00,+3.08493e+00,+2.97289e+00,+3.00000e+00
+307,+2.85876e+00,+3.08248e+00,+2.97062e+00,+3.00000e+00
+308,+2.85989e+00,+3.08325e+00,+2.97157e+00,+3.00000e+00
+309,+2.85897e+00,+3.08197e+00,+2.97047e+00,+3.00000e+00
+310,+2.85528e+00,+3.07792e+00,+2.96660e+00,+3.00000e+00
+311,+2.85462e+00,+3.07689e+00,+2.96576e+00,+3.00000e+00
+312,+2.85173e+00,+3.07365e+00,+2.96269e+00,+3.00000e+00
+313,+2.85232e+00,+3.07389e+00,+2.96311e+00,+3.00000e+00
+314,+2.85096e+00,+3.07217e+00,+2.96156e+00,+3.00000e+00
+315,+2.85069e+00,+3.07156e+00,+2.96112e+00,+3.00000e+00
+316,+2.84631e+00,+3.06683e+00,+2.95657e+00,+3.00000e+00
+317,+2.85068e+00,+3.07085e+00,+2.96076e+00,+3.00000e+00
+318,+2.84867e+00,+3.06848e+00,+2.95858e+00,+3.00000e+00
+319,+2.84919e+00,+3.06866e+00,+2.95893e+00,+3.00000e+00
+320,+2.84885e+00,+3.06798e+00,+2.95841e+00,+3.00000e+00
+321,+2.84804e+00,+3.06683e+00,+2.95743e+00,+3.00000e+00
+322,+2.85253e+00,+3.07098e+00,+2.96176e+00,+3.00000e+00
+323,+2.85346e+00,+3.07157e+00,+2.96251e+00,+3.00000e+00
+324,+2.85268e+00,+3.07045e+00,+2.96156e+00,+3.00000e+00
+325,+2.84907e+00,+3.06651e+00,+2.95779e+00,+3.00000e+00
+326,+2.84215e+00,+3.05925e+00,+2.95070e+00,+3.00000e+00
+327,+2.84564e+00,+3.06241e+00,+2.95403e+00,+3.00000e+00
+328,+2.84264e+00,+3.05908e+00,+2.95086e+00,+3.00000e+00
+329,+2.84411e+00,+3.06022e+00,+2.95216e+00,+3.00000e+00
+330,+2.85098e+00,+3.06677e+00,+2.95888e+00,+3.00000e+00
